6,	100, 3.724798,	-1304.690486
6,	125, 3.106278,	-794.484249
6,	154, 2.833447,	-732.640561
6,	174, 2.538790,	-494.554635
6,	228, 2.218549,	-437.988341
7,	100, 3.927405,	-1305.307844
7,	125, 3.286050, -792.825810
7,	154, 2.758649, -456.851054
7,	174, 2.615173, -428.362289
7,	228, 2.309146, -282.519731
8,	100, 4.783327, -2581.076806
8,	125, 3.447075, -1299.785441
8,	154, 2.851330, -810.614554
8,	174, 2.571661, -654.081301
8,	228, 2.214109, -415.896971
9,	100, 5.584587, -3776.555097
9,	125, 3.983971, -1753.688797
9,	154, 2.916857, -902.405164
9,	174, 2.647113, -703.707437
9,	228, 2.248851, -441.045333
10,228, 0.220559, 8.116757
11,100, 3.562221, -1494.916644
11,125, 3.712359, -941.178585
11,154, 2.882389, -537.703015
11,174, 2.659634, -355.484601
11,228, 2.317593, -232.854299
12,100, 2.630592, -3408.726411
12,125, 4.931512, -3236.638517
12,154, 3.498651, -1482.558225
12,174, 2.937772, -1010.897633
43,154, 3.164602, -621.242985
43,174, 2.827572, -465.239949
44,100, 2.460257, -3156.460107
44,125, 5.044265, -3454.157543
44,154, 3.455149, -1504.542839
44,174, 2.897363, -1040.074693
44,228, 2.150927, -505.712798
45,125, 5.915641, -4779.151346
45,154, 3.709165, -1765.863724
45,174, 3.341294, -1301.413175
45,228, 2.351615, -622.827959
46,125, 5.023325, -4270.102743
46,154, 3.734216, -1677.195117
46,174, 3.105693, -1123.740941
46,228, 2.255984, -540.610667
47,125, 2.079464, -728.674030
47,154, 3.899072, -1335.260766
47,174, 3.067846, -792.069604
47,228, 2.314785, -380.978088
48,125, 1.343395, -1042.060198
48,154, 4.824686, -3024.821731
48,174, 3.522029, -1602.984194
48,228, 2.425725, -705.333106
49,154, 4.230813, -1879.400431
49,174, 3.339002, -1029.031275
49,228, 2.382857, -445.300634
50,154, 4.420789, -3273.516860
50,174, 3.510289, -1763.873389
50,228, 2.275086, -664.795335
51,174, 2.528973, 1052.277796
