0, 408, 3, 0, 0
1, 413, 3, 0, 0
2, 415, 3, 31.0971, 0.194474
3, 402, 3, 0, 0
4, 416, 4, 0, 0
5, 424, 4, 0, 0
6, 420, 3, 2.61759, 0.00645098
7, 416, 4, 3.18123, 0.0044925
8, 410, 3, 3.3418, 0.0102554
9, 424, 3, 4.43778, 0.0159482
10, 411, 3, 0, 0
11, 411, 4, 2.26372, 0.00376874
12, 406, 3, 3.56815, 0.0143468
13, 404, 3, 3.71323, 0.0122963
14, 413, 3, 2.2374, 0.00324521
15, 419, 3, 2.77811, 0.0127187
16, 424, 3, 2.90188, 0.00524362
17, 432, 3, 3.38833, 0.00566796
18, 414, 3, 3.49154, 0.00830784
19, 416, 3, 4.09109, 0.0100872
20, 410, 3, 3.32464, 0.0113689
21, 412, 3, 3.69828, 0.0163209
22, 410, 3, 0, 0
23, 415, 3, 0, 0
24, 419, 3, 0, 0
25, 403, 3, 0, 0
26, 412, 3, 0, 0
27, 432, 3, 0, 0
28, 411, 3, 0, 0
29, 407, 4, 0, 0
30, 402, 3, 0, 0
31, 420, 4, 0, 0
32, 307, 3, 0, 0
33, 317, 3, 0, 0
34, 309, 3, 21.5532, 0.469445
35, 306, 3, 0, 0
36, 311, 3, 0, 0
37, 306, 3, 0, 0
38, 314, 3, 2.77661, 0.00754262
39, 327, 3, 2.10966, 0.00356421
40, 319, 3, 2.5238, 0.0105544
41, 327, 3, 3.59466, 0.0158574
42, 324, 3, 2.17542, 0.00519692
43, 320, 3, 1.86851, 0.00499101
44, 321, 3, 3.34791, 0.0196179
45, 309, 3, 3.13165, 0.0159122
46, 317, 3, 3.02432, 0.0159776
47, 308, 3, 2.1902, 0.00790583
48, 311, 3, 3.18296, 0.0193312
49, 319, 3, 2.67974, 0.00488462
50, 325, 3, 3.17374, 0.0166271
51, 317, 3, 3.47917, 0.0274702
52, 305, 3, 3.24551, 0.0195374
53, 312, 3, 3.09267, 0.0202588
54, 312, 3, 0, 0
55, 321, 3, 0, 0
56, 316, 3, 0, 0
57, 330, 3, 0, 0
58, 322, 3, 0, 0
59, 317, 4, 0, 0
60, 323, 3, 0, 0
61, 323, 3, 0, 0
62, 326, 3, 0, 0
63, 317, 3, 0, 0
